slug,name,doc_page,store_visibility,inventory_decision,method_key,method_label,purpose,transport,auth,ownership_modes,selectable_without_extra_gate,availability_gate,capability_group,risk_tier,declared_resource_filters,resource_filter_enforced_by_paperclip,provider_side_scope_control,setup_prerequisite,evidence_state,source
mixpanel,Mixpanel,docs/connectors/mixpanel.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Mixpanel,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/mixpanel.json
netlify,Netlify,docs/connectors/netlify.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Netlify,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/netlify.json
notion,Notion,docs/connectors/notion.md,app store visible,KEEP - revised this iteration,mcp-oauth,(unlabelled),tool,mcp_remote,oauth,customer+dcr,yes,none beyond a provider account,,S3,workspace+page+database,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/notion.json
oauth-generic,OAuth app,,generic-template (not a provider),NO PAGE - covered by custom-mcp-servers.md,oauth,(unlabelled),tool,rest_api,oauth,customer+dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/oauth-generic.json
openai,OpenAI,docs/connectors/openai.md,app store visible,KEEP - revised this iteration,ai-subscription,OpenAI subscription,ai,runtime_auth,oauth,customer,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/openai.json
openai,OpenAI,docs/connectors/openai.md,app store visible,KEEP - revised this iteration,ai-api_key,OpenAI API key,ai,runtime_auth,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/openai.json
openrouter,OpenRouter,docs/connectors/openrouter.md,app store visible,KEEP - revised this iteration,ai-api_key,OpenRouter API key,ai,runtime_auth,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/openrouter.json
oreilly,O'Reilly,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with O'Reilly,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S2,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/oreilly.json
oreilly,O'Reilly,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S2,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/oreilly.json
pagerduty,PagerDuty,docs/connectors/pagerduty.md,app store visible,KEEP - revised this iteration,mcp-api-key-us,US service region,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S4,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/pagerduty.json
pagerduty,PagerDuty,docs/connectors/pagerduty.md,app store visible,KEEP - revised this iteration,mcp-api-key-eu,EU service region,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S4,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/pagerduty.json
planetscale,PlanetScale,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Database access,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,organization+database+branch,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/planetscale.json
planetscale,PlanetScale,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-insights-only,Insights only,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,organization+database+branch,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/planetscale.json
posthog,PostHog,docs/connectors/posthog.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with PostHog,tool,mcp_remote,oauth,customer+dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/posthog.json
posthog,PostHog,docs/connectors/posthog.md,app store visible,KEEP - revised this iteration,mcp-api-key,Use a personal API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/posthog.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-oauth-minimal,US · Browser sign-in,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,Minimal (minimal),S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-oauth-code,US · Browser sign-in,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,Code (code),S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-oauth-full,US · Browser sign-in,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,Full (write),S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-eu-key-minimal,EU · API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,Minimal (minimal),S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-eu-key-code,EU · API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,Code (code),S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
postman,Postman,docs/connectors/postman.md,app store visible,KEEP - revised this iteration,mcp-eu-key-full,EU · API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,Full (write),S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/postman.json
razorpay,Razorpay,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Razorpay,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/razorpay.json
razorpay,Razorpay,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S4,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/razorpay.json
resend,Resend,docs/connectors/resend.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Resend,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/resend.json
sanity,Sanity,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Sanity,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/sanity.json
sanity,Sanity,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/sanity.json
sentry,Sentry,docs/connectors/sentry.md,app store visible,KEEP - revised this iteration,mcp-oauth,(unlabelled),tool,mcp_remote,oauth,customer+dcr,yes,none beyond a provider account,,S2,organization+project+environment,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/sentry.json
shopify,Shopify,docs/connectors/shopify.md,app store visible,KEEP - revised this iteration,ucp-commerce,Shopify UCP commerce,tool,mcp_remote,none,customer,yes,none beyond a provider account,,S3,store,NO - declarative metadata only; no server/ui reader exists,none - public endpoint,Launch the storefront before connecting,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/shopify.json
shopify,Shopify,docs/connectors/shopify.md,app store visible,KEEP - revised this iteration,storefront-mcp,Storefront policies and compatibility tools,tool,mcp_remote,none,customer,yes,none beyond a provider account,,S3,store,NO - declarative metadata only; no server/ui reader exists,none - public endpoint,Launch the storefront before connecting,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/shopify.json
similarweb,Similarweb,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S2,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/similarweb.json
slack,Slack,docs/connectors/slack.md,app store visible,KEEP - revised this iteration,mcp-oauth,Use this connection as an agent tool,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,,S3,workspace+channel,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/slack.json
slack,Slack,docs/connectors/slack.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,workspace+channel,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/slack.json
stripe,Stripe,docs/connectors/stripe.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Stripe,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/stripe.json
stripe,Stripe,docs/connectors/stripe.md,app store visible,KEEP - revised this iteration,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S4,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/stripe.json
supabase,Supabase,docs/connectors/supabase.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Supabase,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S4,project,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/supabase.json
supabase,Supabase,docs/connectors/supabase.md,app store visible,KEEP - revised this iteration,mcp-api-key,Use an API key,tool,mcp_remote,api_key,customer,yes,none beyond a provider account,,S4,project,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/supabase.json
telegram,Telegram,docs/connectors/telegram.md,app store visible,KEEP - revised this iteration,chat-agent,Chat with an agent,channel,chat_sdk,api_key,customer,yes,"instance experimental setting Chat connectors (enableChatConnectors, default off)",,S3,chat+group+topic,NO - declarative metadata only; no server/ui reader exists,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/telegram.json
ticket-tailor,Ticket Tailor,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with Ticket Tailor,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/ticket-tailor.json
ticktick,TickTick,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-oauth,Sign in with TickTick,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/ticktick.json
todoist,Todoist,docs/connectors/todoist.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Todoist,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/todoist.json
vercel,Vercel,,not connectable (research status: blocked),NO PAGE - not connectable on any instance,mcp-oauth,(unlabelled),tool,mcp_remote,oauth,customer+dcr,yes,none beyond a provider account,,S3,team+project+environment,NO - declarative metadata only; no server/ui reader exists,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/vercel.json
webflow,Webflow,docs/connectors/webflow.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Webflow,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/webflow.json
wix,Wix,docs/connectors/wix.md,app store visible,KEEP - revised this iteration,mcp-oauth,Sign in with Wix,tool,mcp_remote,oauth,dcr,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/wix.json
xai,Grok,docs/connectors/xai.md,app store visible,KEEP - revised this iteration,ai-subscription,Grok subscription,ai,runtime_auth,oauth,customer,yes,none beyond a provider account,,S3,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/xai.json
xai,Grok,docs/connectors/xai.md,app store visible,KEEP - revised this iteration,ai-api_key,Grok API key,ai,runtime_auth,api_key,customer,yes,none beyond a provider account,,S3,,n/a,permissions of the issued token,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/xai.json
xero,Xero,,"recognized, withheld from Browse",NO PAGE - withheld from Browse; existing connections keep working,mcp-own-oauth,Use your own OAuth app,tool,mcp_remote,oauth,customer,yes,none beyond a provider account,,S4,,n/a,provider OAuth consent screen,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/xero.json
zapier,Zapier,docs/connectors/zapier.md,app store visible,KEEP - revised this iteration,generated-url,Paste generated MCP URL,tool,mcp_remote,none,customer,yes,none beyond a provider account,,S3,,n/a,none - public endpoint,,source-verified,paperclipai/paperclip@ae0632997101070611a2efd5146b60e13a908efa packages/shared/src/app-definitions/zapier.json
